Section ID,Area(mm2),Weight,Ix(mm4),Sx(mm3),Zx(mm3),rx(mm),Iy(mm4),Sy(mm3),Zy(mm3),ry(mm),Cw(mm6),J(mm4),rts(mm),Slenderness of Flange,Slenderness of Web
W44X335,63346.0,4.89157812,12896554283.333334,23029561.220238097,26492395.0,451.2084736087665,496088169.1533333,2455882.025511551,3849118.3,88.49522479169455,142876991175000.0,30987527.53333333,107.51955536379717,nonslender,slender
W44X290,54815.8,4.232876076,11209808318.219332,20197852.825620417,23036783.21,452.2163026626787,431863135.8833333,2153930.852285952,3348665.85,88.7605916872622,123325425857382.95,21035406.134000003,106.89246389731599,nonslender,slender
W44X262,49405.42,3.8150865324,9996290342.73273,18175073.350423146,20656577.669,449.8131349324051,388636865.98768336,1938338.483729094,3004212.8195,88.69205136144286,109781888112021.73,15371655.279366666,106.60573938761634,nonslender,slender
W44X230,43366.0,3.34872252,8602117115.333332,15783701.129051985,17919957.0,445.37721248037957,333652479.8333333,1664102.1438071488,2575683.5,87.71472291046278,93406153964129.62,10022823.333333334,105.75795329084038,nonslender,slender
W40X655,123644.20000000001,9.547805124,23472139620.047337,42292143.45954475,50158199.21000001,435.7019116794113,1192677525.1833334,5560268.182672883,8854017.95,98.2142813681185,307755499017689.2,250303958.5806667,119.68848394355713,nonslender,nonslender
W40X593,111669.0,8.62308018,20712889607.0,38005302.03119266,44799933.5,430.67933296749754,1049010814.9375,4948164.221403302,7850078.875,96.9222905726523,264619134517248.0,187503336.66666666,117.74113240970536,nonslender,nonslender
W40X503,94818.57999999999,7.321890747599999,17256040496.281933,32254281.301461555,37679538.421,426.60294784814266,851810193.7779832,4085420.5936593916,6450181.334499999,94.781743448632,211752271579768.75,115686741.86229998,114.74903530515415,nonslender,nonslender
W40X431,80864.6,6.244364412,14362133628.648668,27356445.006949846,31729985.229999997,421.43466961336924,696154916.2166667,3387615.164071371,5328011.75,92.78413555790927,169863147575506.2,71860203.05933334,112.11699149623855,nonslender,nonslender
W40X397,74500.4,5.752920887999999,13148704092.974667,25285969.409566667,29176629.82,420.1091819781445,639731372.3666667,3128270.7695191526,4898504.0,92.66580913346436,154329501655361.03,57401003.37399999,111.47355376269115,nonslender,nonslender
W40X372,69928.9,5.3999096579999994,12149075385.516333,23590437.641779285,27159127.405,416.8149284684473,596076307.2145834,2914798.5682864715,4559089.4125,92.32569414986285,142031704136535.03,46929066.00349999,111.05900814322479,nonslender,nonslender
W40X362,67842.72,5.2388148384,11839361087.110401,22989050.6545833,26420617.904000003,417.74619927688747,571735465.3376,2816430.8637320194,4398641.392,91.80068895836362,136541420335107.88,43590146.58586667,110.24384926861552,nonslender,nonslender
W40X324,60739.2,4.690281023999999,10513246374.400002,20614208.577254906,23569334.4,416.0388500438372,506801623.616,2508918.928792079,3903645.12,91.34493372331559,119897077994389.33,31536162.778666664,109.35239925732583,nonslender,nonslender
W40X297,55462.119999999995,4.2827849064,9441024711.037733,18695098.43769848,21327213.386,412.58300445843236,451308237.8089333,2250913.9042839566,3497745.0379999997,90.2066173064086,105505801088298.69,23906707.183866665,108.03725022046268,nonslender,slender
W40X277,51778.979999999996,3.9983728355999992,8981048301.0166,17784254.06141901,20156474.401,416.4729225813465,431677233.10365,2153003.6563773067,3327549.1145,91.30673781312044,101349163243333.0,20275032.292966668,108.44936188198604,nonslender,slender
W40X249,46673.18,3.6041029596,7999243648.969267,15998487.297938533,18063894.101,413.99087305960916,388500625.2428167,1937658.9787671654,2987075.7295000004,91.23514468776642,90114159962440.14,14815709.139633335,108.14507091462985,nonslender,slender
W40X215,40190.5,3.10351041,6832622829.208333,13789349.806676757,15493804.125,412.3177385801956,333500637.1770833,1663344.823825852,2555645.5625,91.09334070088688,76758421670400.0,9401607.333333334,107.71688394877103,nonslender,slender
W40X199,37136.299999999996,2.8676650859999997,6084504654.355667,12379460.130937267,13982080.844999999,404.77464267531144,292662393.47291666,1459662.8103387365,2250096.4375,88.7736638300331,66761307336471.18,6810912.923666666,106.26055634674117,nonslender,slender
W40X392,73965.20000000001,5.711592744000001,12448702857.066668,23488118.598238997,27918691.6,410.2497569263421,337049896.75766665,2139999.3444931214,3478847.93,67.50460203318629,82683541584000.0,70669472.492,84.30516867969803,nonslender,nonslender
W40X331,62427.8,4.820674716,10248887915.372665,19709399.837255124,23263476.009999998,405.1812655791194,270928787.81666666,1747927.6633333333,2823369.95,65.87772026674332,65273490636883.79,42514002.63999999,82.14124820281494,nonslender,nonslender
W40X327,61171.4,4.723655508,10102511332.944666,19427906.409508973,22886401.63,406.3876141678887,262988777.71666667,1713281.9395222585,2759090.45,65.56837163487077,63396733719712.25,41280106.16466667,81.5244774143109,nonslender,nonslender
W40X294,54960.8,4.244072976,9011981278.266666,17498992.773333333,20502541.4,404.93341639600817,233221560.96566668,1529321.7112502733,2447713.63,65.14151069914573,55747111692234.375,30287053.97633333,80.72187504277316,nonslender,nonslender
W40X278,52373.6,4.044289392,8404783661.866666,16479967.964444444,19305975.2,400.5964128907633,218914277.2986667,1435503.457696175,2298829.08,64.65183111758779,51589821089458.336,25630695.024,80.30292148063215,nonslender,nonslender
W40X264,49261.28,3.8039560416,7967243838.396267,15622046.741953464,18241819.304,402.1621632744339,202655887.53706667,1342091.97044415,2140676.448,64.13967670040374,48002375837189.06,21760241.1128,79.45779759026841,nonslender,nonslender
W40X235,43839.18,3.3852614796,7112729966.6505995,14084613.795347722,16306068.391,402.79766978159137,184810986.55365,1223913.8182360926,1932129.2645,64.92809810947624,43292022794401.32,16019273.026966669,79.69139779498128,nonslender,slender
W40X211,39380.979999999996,3.0409992756,6304650102.981934,12609300.205963867,14549418.311,400.1172127361204,162988732.55948332,1086591.5503965556,1709117.6795,64.33325590480369,37733204116125.0,11647953.152300002,78.86327794809321,nonslender,slender
W40X183,33645.0,2.5980669,5328122650.0,10753022.502522705,12356287.5,397.9484710170178,137598139.6875,917320.93125,1435798.125,63.95080487935157,31655348578125.0,7112753.6875,78.34289903064463,nonslender,slender
W40X167,31025.4,2.395781388,4673606028.392001,9537971.486514289,11046190.26,388.1211908212385,118247241.2625,788314.94175,1242134.775,61.73576213879597,26814422619000.0,5025141.875,76.83548853190345,nonslender,slender
W40X149,27504.8,2.123920656,3915154046.8026667,8072482.570727148,9449788.36,377.28555829618074,95266689.06666666,635111.2604444444,1008879.2000000001,58.85268622926846,21373511097375.004,3174351.0000000005,74.7654028498664,nonslender,slender
W36X925,174522.0,13.47658884,29985062600.0,55018463.48623853,67104830.0,414.50272429943874,2047789852.515,8677075.64625,14074901.35,108.32223262157083,478984903800000.0,625214407.1416668,134.1675762715776,nonslender,nonslender
W36X853,161300.0,12.455586,28762759166.666668,52775704.89296636,63635350.0,422.2776429422586,1908833606.6666667,8263348.946608947,13153670.0,108.78445807115217,449181392034375.0,553626300.0,132.45868401638393,nonslender,nonslender
W36X802,151777.0,11.72021994,26810714712.333336,49649471.68950618,59606963.5,420.29208707119705,1749806347.6458335,7657795.832148068,12171054.375,107.37223955035819,408697815360346.5,466226574.125,130.5090896075422,nonslender,nonslender
W36X723,137071.58,10.584667407599998,23691677535.233265,44701278.368364654,53272467.91099999,415.7422833990112,1537252112.2443166,6802000.496656268,10777371.554499999,105.90070219912526,352074121235441.75,346851451.2266333,128.2876438732985,nonslender,nonslender
W36X652,123380.6,9.527449932,20843646858.868668,40083936.26705513,47429354.03,411.02043480755145,1347191184.6166668,6027701.049739001,9519039.55,104.49395742873382,302001886325773.3,256106164.30200005,126.14630690697824,nonslender,nonslender
W36X529,99852.58000000002,7.710616227600001,16363441525.533937,32402854.506007798,37831845.119,404.81600914043844,1032784190.9819834,4726701.102892373,7416878.745500001,101.70098176834247,225175947099306.0,138925977.1809667,121.99478318739479,nonslender,nonslender
W36X487,91945.38,7.100022243600001,14833513429.652601,29726479.818943087,34557776.72099999,401.65858925460327,931794737.4561499,4293984.965235714,6726271.1745,100.66886465307022,200575347899398.47,108520734.56129996,120.59455800609405,nonslender,nonslender
W36X441,83376.0,6.43829472,13354774272.0,27033956.016194332,31240512.0,400.21904192562084,836046117.0,3870583.875,6042438.0,100.13700297734586,178588570742784.0,81313436.25,119.55456744779175,nonslender,nonslender
W36X395,74497.8,5.752720116000001,11755719898.806,24114297.22832,27712908.990000002,397.2399247599171,727487232.55,3407434.3444964867,5303479.35,98.81911588765074,153182701171921.34,58851654.25533333,117.65800222315343,nonslender,nonslender
W36X361,67836.32,5.2383206304000005,10577544704.289066,21922372.44412242,25086332.224,394.8765054540205,650830084.3242667,3069953.227944654,4767251.791999999,97.9496006797045,135551579605977.33,44695037.30453333,116.39900683846567,nonslender,nonslender
W36X330,62045.6,4.791161231999999,9629694515.466667,20103746.378844816,22902335.6,393.9587590110228,589937269.1546667,2795911.228221169,4329868.96,97.50961066714453,122140789548065.67,34484768.95633333,115.55217933734265,nonslender,nonslender
W36X302,56888.00000000001,4.39289136,8687404049.46667,18347210.24174587,20826298.000000004,390.7821137297614,543460650.6666667,2563493.6352201262,3962288.0,97.74031163372715,110901971019982.31,26173881.594666675,115.67561669286982,nonslender,nonslender
W36X282,53075.1,4.098459222,8057418210.477,17107045.032859873,19370941.605,389.63013801864304,500575545.60625,2372395.9507405213,3661897.9875,97.11569089494746,101673640132328.94,21295791.5895,114.8370430189823,nonslender,slender
W36X262,49289.34,3.8061228348,7408347234.345799,15812907.650684737,17880109.173,387.68961118559076,459119450.72405,2175921.567412559,3356911.5555000002,96.51311761717557,92913360768857.3,16693548.987600004,114.28654349953936,nonslender,slender
W36X247,46270.42,3.5730018323999997,6882452172.477932,14769210.670553502,16684682.357,385.67357204011137,421120229.7559833,2010120.4284295146,3099820.7764999997,95.40064950067665,84720282956287.8,13775322.161299998,113.08883570100528,nonslender,slender
W36X231,43471.9,3.3569001180000004,6406093064.258333,13821128.509726716,15593670.425,383.8771932461965,392837327.68258333,1875118.5092247415,2889340.7175,95.06093092558848,78564595013966.67,11297930.005,112.74262789969714,nonslender,slender
W36X256,48280.08,3.7281877776,6911125402.6616,14534438.28109695,16889920.764,378.3470883753509,219015776.66239998,1413005.010725161,2237873.688,67.35249828738773,44838254111467.04,21877349.182133332,82.57182766344883,nonslender,nonslender
W36X232,43575.32,3.3648862104,6182979049.943067,13113423.223633228,15179099.006000001,376.6852328522566,193190484.35126668,1258569.9306271444,1985666.428,66.58441264830427,39232724173720.65,16249984.018366667,81.479904278471,nonslender,slender
W36X210,39599.3,3.057857946,5439709805.141666,11673197.006741773,13527418.975,370.6330226218043,171973830.20441666,1109508.5819639785,1753779.0575,65.90030544364403,34495452747265.625,11296833.524166668,81.22900730606405,nonslender,slender
W36X194,36390.2,2.810051244,4975400725.316667,10734413.64685365,12404609.65,369.76160336730425,154842120.53266668,1008743.4562388709,1589183.67,65.2307442899656,30902949605433.332,8884763.56,80.2755144884223,nonslender,slender
W36X182,34280.8,2.647163376,4647520242.933333,10081388.813304411,11633322.4,368.20117565543836,145119701.03733334,945405.2184842563,1486694.68,65.063543669744,28777618318940.0,7378239.189333334,80.06360175567806,nonslender,slender
W36X170,31952.36,2.4673612392,4306882335.983868,9372975.703991007,10805434.538,367.13858788980065,132305156.69286667,867574.7979860109,1362285.5320000001,64.34827592633859,26190595124509.27,5953874.469566666,79.24863471077728,nonslender,slender
W36X160,30025.300000000003,2.318553666,3997442410.904333,8747138.754714077,10082024.915000001,364.87779118955234,122797923.76458333,805232.2869808744,1263357.2375,63.95166180896987,24149702248795.41,4862527.800833332,78.9028505228413,nonslender,slender
W36X150,28319.78,2.1868534115999996,3730569283.103267,8181072.989261551,9442500.469,362.9465038818627,113307106.79931667,742997.4216348635,1166268.3505,63.25336546078928,22284860376301.555,3965849.1699666665,78.37212694556388,nonslender,slender
W36X135,25390.76,1.9606744872,3211626912.4278665,7105369.275282891,8254120.6219999995,355.65154038438885,95301085.39586666,624925.1501368305,984794.3380000001,61.264807496945046,18564813963211.99,2685884.567066667,76.94028404108765,nonslender,slender
W33X387,73136.2,5.647577364,10089894007.527334,22078542.686055437,25469512.01,371.4301094142412,672145642.2833333,3270781.714274128,5094602.15,95.86619668323642,122755732388642.3,62535538.619333334,114.06202833506742,nonslender,nonslender
W33X354,66970.9,5.1714928979999994,9120731562.076334,20178609.65061136,23173836.805,369.038578975355,607205456.7145833,2969219.837235126,4614881.9125,95.21925193032085,109599923422168.38,48105546.641833335,113.06829922497639,nonslender,nonslender
