ID,Cata,h,bf,tw,tf,k
W44X335,W,1120,404,26.2,45,65
W44X290,W,1110,401,22,40.1,59.9
W44X262,W,1100,401,19.9,36.1,55.9
W44X230,W,1090,401,18,31,51.1
W40X655,W,1110,429,50,89.9,120
W40X593,W,1090,424,45.5,82,112
W40X503,W,1070,417,39.1,70.1,100
W40X431,W,1050,411,34,59.9,89.9
W40X397,W,1040,409,31,55.9,85.9
W40X372,W,1030,409,29.5,52.1,82
W40X362,W,1030,406,28.4,51.1,81
W40X324,W,1020,404,25.4,46,75.9
W40X297,W,1010,401,23.6,41.9,71.9
W40X277,W,1010,401,21.1,40.1,70.1
W40X249,W,1000,401,19.1,36.1,66
W40X215,W,991,401,16.5,31,61
W40X199,W,983,401,16.5,27.2,57.2
W40X392,W,1060,315,36.1,64,94
W40X331,W,1040,310,31,54.1,84.1
W40X327,W,1040,307,30,54.1,84.1
W40X294,W,1030,305,26.9,49,79
W40X278,W,1020,305,26.2,46,75.9
W40X264,W,1020,302,24.4,43.9,73.9
W40X235,W,1010,302,21.1,40.1,70.1
W40X211,W,1000,300,19.1,36.1,66
W40X183,W,991,300,16.5,30.5,60.5
W40X167,W,980,300,16.5,26.2,56.1
W40X149,W,970,300,16,21.1,51.1
W36X925,W,1090,472,76.7,115,134
W36X853,W,1090,462,64,115,134
W36X802,W,1080,457,60.5,109,128
W36X723,W,1060,452,55.1,99.1,118
W36X652,W,1040,447,50,89.9,114
W36X529,W,1010,437,40.9,73.9,98
W36X487,W,998,434,38.1,68.1,92.2
W36X441,W,988,432,34.5,62,86.1
W36X395,W,975,427,31,55.9,80
W36X361,W,965,424,28.4,51.1,75.2
W36X330,W,958,422,25.9,47,71.1
W36X302,W,947,424,24,42.7,66.8
W36X282,W,942,422,22.5,39.9,64
W36X262,W,937,422,21.3,36.6,60.7
W36X247,W,932,419,20.3,34.3,58.4
W36X231,W,927,419,19.3,32,56.1
W36X256,W,951,310,24.4,43.9,63
W36X232,W,943,307,22.1,39.9,58.9
W36X210,W,932,310,21.1,34.5,53.6
W36X194,W,927,307,19.4,32,51.1
W36X182,W,922,307,18.4,30,49
