ID,h,bf,tw,tf,k
W44X335,1120,404,26.2,45,65
W44X290,1110,401,22,40.1,59.9
W44X262,1100,401,19.9,36.1,55.9
W44X230,1090,401,18,31,51.1
W40X655,1110,429,50,89.9,120
W40X593,1090,424,45.5,82,112
W40X503,1070,417,39.1,70.1,100
W40X431,1050,411,34,59.9,89.9
W40X397,1040,409,31,55.9,85.9
W40X372,1030,409,29.5,52.1,82
W40X362,1030,406,28.4,51.1,81
W40X324,1020,404,25.4,46,75.9
W40X297,1010,401,23.6,41.9,71.9
W40X277,1010,401,21.1,40.1,70.1
W40X249,1000,401,19.1,36.1,66
W40X215,991,401,16.5,31,61
W40X199,983,401,16.5,27.2,57.2
W40X392,1060,315,36.1,64,94
W40X331,1040,310,31,54.1,84.1
W40X327,1040,307,30,54.1,84.1
W40X294,1030,305,26.9,49,79
W40X278,1020,305,26.2,46,75.9
W40X264,1020,302,24.4,43.9,73.9
W40X235,1010,302,21.1,40.1,70.1
W40X211,1000,300,19.1,36.1,66
W40X183,991,300,16.5,30.5,60.5
W40X167,980,300,16.5,26.2,56.1
W40X149,970,300,16,21.1,51.1
W36X925,1090,472,76.7,115,134
W36X853,1090,462,64,115,134
W36X802,1080,457,60.5,109,128
W36X723,1060,452,55.1,99.1,118
W36X652,1040,447,50,89.9,114
W36X529,1010,437,40.9,73.9,98
W36X487,998,434,38.1,68.1,92.2
W36X441,988,432,34.5,62,86.1
W36X395,975,427,31,55.9,80
W36X361,965,424,28.4,51.1,75.2
W36X330,958,422,25.9,47,71.1
W36X302,947,424,24,42.7,66.8
W36X282,942,422,22.5,39.9,64
W36X262,937,422,21.3,36.6,60.7
W36X247,932,419,20.3,34.3,58.4
W36X231,927,419,19.3,32,56.1
W36X256,951,310,24.4,43.9,63
W36X232,943,307,22.1,39.9,58.9
W36X210,932,310,21.1,34.5,53.6
W36X194,927,307,19.4,32,51.1
W36X182,922,307,18.4,30,49
W36X170,919,305,17.3,27.9,47
W36X160,914,305,16.5,25.9,45
W36X150,912,305,15.9,23.9,42.9
W36X135,904,305,15.2,20.1,39.1
W33X387,914,411,32,57.9,78
W33X354,904,409,29.5,53.1,73.2
W33X318,894,406,26.4,48,68.1
W33X291,884,404,24.4,43.9,64
W33X263,876,401,22.1,39.9,59.9
W33X241,869,404,21.1,35.6,55.6
W33X221,861,401,19.7,32.5,52.3
W33X201,856,399,18.2,29.2,49.3
W33X169,859,292,17,31,48.8
W33X152,851,295,16.1,26.9,44.7
W33X141,846,292,15.4,24.4,42.2
W33X130,841,292,14.7,21.7,39.6
W33X118,836,292,14,18.8,36.6
W30X391,843,396,34.5,62,82
W30X357,833,394,31.5,56.9,77
W30X326,823,391,29,52.1,72.1
W30X292,813,389,25.9,47,67.1
W30X261,803,386,23.6,41.9,62
W30X235,795,384,21.1,38.1,58.2
W30X211,785,384,19.7,33.5,53.3
W30X191,780,381,18,30.2,50
W30X173,772,381,16.6,27.2,47
W30X148,780,267,16.5,30,46.5
W30X132,770,267,15.6,25.4,41.9
W30X124,767,267,14.9,23.6,40.1
W30X116,762,267,14.4,21.6,38.1
W30X108,757,267,13.8,19.3,35.8
W30X99,754,267,13.2,17,33.5
W30X90,749,264,11.9,15.5,32
W27X539,826,389,50,89.9,110
W27X368,772,373,35.1,63,83.1
W27X336,762,371,32,57.9,78
W27X307,752,366,29.5,53.1,73.2
W27X281,744,366,26.9,49,69.1
W27X258,737,363,24.9,45,65
W27X235,729,361,23.1,40.9,61
W27X217,721,358,21.1,38.1,58.2
W27X194,714,356,19.1,34,54.1
W27X178,706,358,18.4,30.2,50.3
W27X161,701,356,16.8,27.4,47.5
W27X146,696,356,15.4,24.8,44.7
W27X129,701,254,15.5,27.9,43.2
W27X114,693,257,14.5,23.6,38.9
W27X102,688,254,13.1,21.1,36.3
W27X94,683,254,12.4,18.9,34
W27X84,678,254,11.7,16.3,31.5
W24X370,711,348,38.6,69.1,81.8
W24X335,699,343,35.1,63,75.7
W24X306,688,340,32,57.9,70.6
W24X279,678,338,29.5,53.1,65.8
W24X250,668,335,26.4,48,60.7
W24X229,660,333,24.4,43.9,56.6
W24X207,653,330,22.1,39.9,52.6
W24X192,648,330,20.6,37.1,49.8
W24X176,640,328,19.1,34,46.7
W24X162,635,330,17.9,31,43.7
W24X146,627,328,16.5,27.7,40.4
W24X131,622,328,15.4,24.4,37.1
W24X117,617,325,14,21.6,34.3
W24X104,612,325,12.7,19.1,31.8
W24X103,622,229,14,24.9,37.6
W24X94,617,230,13.1,22.2,35.1
W24X84,612,229,11.9,19.6,32.3
W24X76,607,228,11.2,17.3,30
W24X68,602,228,10.5,14.9,27.7
W24X62,602,179,10.9,15,27.7
W24X55,599,178,10,12.8,25.7
W21X275,612,328,31,55.6,85.6
W21X248,602,325,27.9,50.5,80.5
W21X223,594,323,25.4,45.5,75.4
W21X201,584,320,23.1,41.4,54.1
W21X182,577,318,21.1,37.6,50.3
W21X166,572,315,19.1,34.5,47.2
W21X147,561,318,18.3,29.2,41.9
W21X132,554,315,16.5,26.4,39.1
W21X122,551,315,15.2,24.4,37.1
W21X111,546,312,14,22.2,35.1
W21X101,544,312,12.7,20.3,33
W21X93,549,214,14.7,23.6,36.3
W21X83,544,212,13.1,21.2,34
W21X73,538,211,11.6,18.8,31.5
W21X68,536,210,10.9,17.4,30.2
W21X62,533,209,10.2,15.6,28.4
W21X55,528,209,9.53,13.3,25.9
W21X48,523,207,8.89,10.9,23.6
W21X57,536,167,10.3,16.5,29.2
W21X50,528,166,9.65,13.6,26.4
W21X44,526,165,8.89,11.4,24.1
W18X311,566,305,38.6,69.6,82.3
W18X283,556,302,35.6,63.5,76.2
W18X258,546,300,32.5,58.4,68.6
W18X234,536,297,29.5,53.6,63.8
W18X211,526,295,26.9,48.5,58.7
W18X192,518,292,24.4,44.5,54.6
W18X175,508,290,22.6,40.4,50.5
