Activity ID	(New)	Activity Name	Duration	Start	Finish
S-OIL SHAHEEN PROJECT_E & P SCHEDULE_작업중			1007	02-Jan-23	04-Oct-25
  Package #1 - SCC / UTOS			1007	02-Jan-23	04-Oct-25
    Engineering - PKG-1 작성 중			545	02-Jan-23	20-Mar-25
      Common - PKG-1 작성 중			545	02-Jan-23	20-Mar-25
        Project Management			62	02-Jan-23	31-Mar-23
          Common			62	02-Jan-23	31-Mar-23
            1SES201PMM35005	1	FEED Verification	62	02-Jan-23	31-Mar-23
        Process			380	02-Mar-23	11-Sep-24
          SCC			359	02-Mar-23	12-Aug-24
            Process Flow Diagram [PFD] / Utility Flow Diagram [UFD]			132	03-Apr-23	16-Oct-23
              1SES101PRP30010A	1	PFD for Cracker Unit_IFA	39	03-Apr-23	30-May-23
              1SES101PRP30010B	1	PFD for Cracker Unit_PCT Approval	10	31-May-23	14-Jun-23
              1SES101PRP30010F	1	PFD for Cracker Unit_IFC	83	15-Jun-23	16-Oct-23
              1SES102PRP30020A	1	PFD for Quench Tower Area_IFA	39	03-Apr-23	30-May-23
              1SES102PRP30020B	1	PFD for Quench Tower Area_PCT Approval	10	31-May-23	14-Jun-23
              1SES102PRP30020F	1	PFD for Quench Tower Area_IFC	82	15-Jun-23	13-Oct-23
              1SES103PRP30030A	1	PFD for Compression Unit_IFA	39	03-Apr-23	30-May-23
              1SES103PRP30030B	1	PFD for Compression Unit_PCT Approval	10	31-May-23	14-Jun-23
              1SES103PRP30030F	1	PFD for Compression Unit_IFC	82	15-Jun-23	13-Oct-23
              1SES104PRP30035A	1	PFD for Chilling Unit_IFA	39	03-Apr-23	30-May-23
              1SES104PRP30035B	1	PFD for Chilling Unit_PCT Approval	10	31-May-23	14-Jun-23
              1SES104PRP30035F	1	PFD for Chilling Unit_IFC	82	15-Jun-23	13-Oct-23
              1SES105PRP30025A	1	PFD for Caustic Storage Tank Area_IFA	39	03-Apr-23	30-May-23
              1SES105PRP30025B	1	PFD for Caustic Storage Tank Area_PCT Approval	10	31-May-23	14-Jun-23
              1SES105PRP30025F	1	PFD for Caustic Storage Tank Area_IFC	82	15-Jun-23	13-Oct-23
              1SES106PRP30015A	1	PFD for Gasoline Fractionator Area_IFA	39	03-Apr-23	30-May-23
              1SES106PRP30015B	1	PFD for Gasoline Fractionator Area_PCT Approval	10	31-May-23	14-Jun-23
              1SES106PRP30015F	1	PFD for Gasoline Fractionator Area_IFC	82	15-Jun-23	13-Oct-23
              1SES110PRP30040A	1	PFD for Refinery Off Gas Unit (ROGTU)_IFA	39	03-Apr-23	30-May-23
              1SES110PRP30040B	1	PFD for Refinery Off Gas Unit (ROGTU)_PCT Approval	10	31-May-23	14-Jun-23
              1SES110PRP30040F	1	PFD for Refinery Off Gas Unit (ROGTU)_IFC	82	15-Jun-23	13-Oct-23
              1SES201PRP30005A	1	PFD for SCC Common_IFA	39	03-Apr-23	30-May-23
              1SES201PRP30005B	1	PFD for SCC Common_PCT Approval	10	31-May-23	14-Jun-23
              1SES201PRP30005F	1	PFD for SCC Common_IFC	82	15-Jun-23	13-Oct-23
            Piping & Instrument Diagram (P&ID)			232	03-Apr-23	11-Mar-24
              1SES101PRP35010A	1	P&ID for Cracker Unit_IFA	33	03-Apr-23	19-May-23
              1SES101PRP35010C	1	P&ID for Cracker Unit_IFH	53	22-May-23	04-Aug-23
              1SES101PRP35010D	1	P&ID for Cracker Unit_IFD	60	07-Aug-23	03-Nov-23
              1SES101PRP35010F	1	P&ID for Cracker Unit_IFC	86	06-Nov-23	11-Mar-24
              1SES102PRP35020A	1	P&ID for Quench Tower Area_IFA	33	03-Apr-23	19-May-23
              1SES102PRP35020C	1	P&ID for Quench Tower Area_IFH	53	22-May-23	04-Aug-23
              1SES102PRP35020D	1	P&ID for Quench Tower Area_IFD	60	07-Aug-23	03-Nov-23
              1SES102PRP35020F	1	P&ID for Quench Tower Area_IFC	86	06-Nov-23	11-Mar-24
              1SES103PRP35035A	1	P&ID for Compression Unit_IFA	33	03-Apr-23	19-May-23
              1SES103PRP35035C	1	P&ID for Compression Unit_IFH	53	22-May-23	04-Aug-23
              1SES103PRP35035D	1	P&ID for Compression Unit_IFD	60	07-Aug-23	03-Nov-23
              1SES103PRP35035F	1	P&ID for Compression Unit_IFC	86	06-Nov-23	11-Mar-24
              1SES104PRP35040A	1	P&ID for Chilling Unit_IFA	33	03-Apr-23	19-May-23
              1SES104PRP35040C	1	P&ID for Chilling Unit_IFH	53	22-May-23	04-Aug-23
              1SES104PRP35040D	1	P&ID for Chilling Unit_IFD	60	07-Aug-23	03-Nov-23
              1SES104PRP35040F	1	P&ID for Chilling Unit_IFC	81	06-Nov-23	04-Mar-24
              1SES106PRP35015A	1	P&ID for Gasoline Fractionator Area_IFA	33	03-Apr-23	19-May-23
              1SES106PRP35015C	1	P&ID for Gasoline Fractionator Area_IFH	53	22-May-23	04-Aug-23
              1SES106PRP35015D	1	P&ID for Gasoline Fractionator Area_IFD	60	07-Aug-23	03-Nov-23
              1SES106PRP35015F	1	P&ID for Gasoline Fractionator Area_IFC	86	06-Nov-23	11-Mar-24
              1SES106PRP35025A	1	P&ID for Gasoline Fractionator Area_IFA	33	03-Apr-23	19-May-23
              1SES106PRP35025C	1	P&ID for Gasoline Fractionator Area_IFH	53	22-May-23	04-Aug-23
              1SES106PRP35025D	1	P&ID for Gasoline Fractionator Area_IFD	60	07-Aug-23	03-Nov-23
              1SES106PRP35025F	1	P&ID for Gasoline Fractionator Area_IFC	86	06-Nov-23	11-Mar-24
              1SES110PRP35030A	1	P&ID for Refinery Off Gas Unit (ROGTU)_IFA	33	03-Apr-23	19-May-23
              1SES110PRP35030C	1	P&ID for Refinery Off Gas Unit (ROGTU)_IFH	53	22-May-23	04-Aug-23
              1SES110PRP35030D	1	P&ID for Refinery Off Gas Unit (ROGTU)_IFD	60	07-Aug-23	03-Nov-23
              1SES110PRP35030F	1	P&ID for Refinery Off Gas Unit (ROGTU)_IFC	86	06-Nov-23	11-Mar-24
              1SES201PRP35005A	1	P&ID for SCC Common_IFA	33	03-Apr-23	19-May-23
              1SES201PRP35005C	1	P&ID for SCC Common_IFH	53	22-May-23	04-Aug-23
              1SES201PRP35005D	1	P&ID for SCC Common_IFD	60	07-Aug-23	03-Nov-23
              1SES201PRP35005F	1	P&ID for SCC Common_IFC	86	06-Nov-23	11-Mar-24
            Equipment List			136	20-Mar-23	05-Oct-23
              1SES201PRP50005A	1	Equipment List for SCC Common_IFA	44	20-Mar-23	22-May-23
              1SES201PRP50005B	1	Equipment List for SCC Common_PCT Approval	10	23-May-23	07-Jun-23
              1SES201PRP50005F	1	Equipment List for SCC Common_IFC	82	08-Jun-23	05-Oct-23
            Heat & Material Balances			134	10-Apr-23	25-Oct-23
              1SES201PRP30045A	1	Heat and Material Balance for SCC Common_IFA	42	10-Apr-23	12-Jun-23
              1SES201PRP30045B	1	Heat and Material Balance for SCC Common_PCT Approval	10	13-Jun-23	26-Jun-23
              1SES201PRP30045F	1	Heat and Material Balance for SCC Common_IFC	82	27-Jun-23	25-Oct-23
            Pump Hydraulic Calculation			22	31-May-23	30-Jun-23
              1SES201PRP20005F	1	Pump Hydraulic Calculation for SCC Common_IFI	22	31-May-23	30-Jun-23
            Cause & Effect Diagram			74	23-Oct-23	05-Feb-24
              1SES201PRP55005A	1	Cause & Effect for SCC Common_IFA	23	23-Oct-23	22-Nov-23
              1SES201PRP55005B	1	Cause & Effect for SCC Common_PCT Approval	10	23-Nov-23	06-Dec-23
